-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.160, 0.429,  0.346
-183.773, 80.141, 0.595,  0.379
-183.758, 80.118, 0.705,  0.412
-183.739, 80.092, 0.830,  0.445
-183.717, 80.062, 0.960,  0.478
-183.691, 80.028, 1.093,  0.511
-183.661, 79.990, 1.244,  0.544
-183.628, 79.949, 1.384,  0.577
-183.590, 79.905, 1.492,  0.610
-183.550, 79.860, 1.558,  0.643
-183.508, 79.815, 1.588,  0.676
-183.465, 79.771, 1.594,  0.709
-183.421, 79.730, 1.548,  0.742
-183.377, 79.691, 1.528,  0.775
-183.333, 79.653, 1.508,  0.808
-183.289, 79.617, 1.483,  0.841
-183.244, 79.583, 1.458,  0.874
-183.199, 79.550, 1.436,  0.907
-183.154, 79.518, 1.421,  0.940
-183.108, 79.488, 1.411,  0.973
-183.062, 79.459, 1.407,  1.006
-183.014, 79.430, 1.409,  1.039
-182.966, 79.403, 1.415,  1.072
-182.917, 79.377, 1.424,  1.105
-182.867, 79.351, 1.436,  1.138
-182.815, 79.327, 1.449,  1.171
-182.763, 79.303, 1.462,  1.204
-182.709, 79.281, 1.474,  1.237
-182.655, 79.259, 1.483,  1.270
-182.600, 79.239, 1.490,  1.303
-182.545, 79.221, 1.495,  1.336
-182.489, 79.203, 1.498,  1.369
-182.432, 79.187, 1.499,  1.402
-182.375, 79.172, 1.510,  1.435
-182.318, 79.159, 1.502,  1.468
-182.260, 79.147, 1.495,  1.501
-182.203, 79.137, 1.491,  1.534
-182.145, 79.128, 1.490,  1.567
-182.087, 79.120, 1.488,  1.600
-182.029, 79.114, 1.488,  1.633
-181.970, 79.110, 1.488,  1.666
-181.911, 79.103, 1.575,  1.699
-181.852, 79.097, 1.581,  1.732
